layer_id,assembly_id,layer_order,layer_name,material_id,thickness_mm,thermal_conductivity_W_mK,layer_r_value_m2K_W,calculation_method,source_id
LAY-WWARM-2,ASM-WALL-WARM-COMP,2,Outer Clay Brick Layer,MAT-BRICK,115.0,0.7,0.1643,CALCULATED_D_OVER_K,SRC-ASHRAE-2025-CH26
LAY-WWARM-3,ASM-WALL-WARM-COMP,3,Unventilated Air Cavity,MAT-AIR-CAVITY,50.0,0.238,0.21,DIRECTLY_SOURCED_ISO6946,SRC-ISO-6946-2017
LAY-WWARM-4,ASM-WALL-WARM-COMP,4,Inner Clay Brick Layer,MAT-BRICK,115.0,0.7,0.1643,CALCULATED_D_OVER_K,SRC-ASHRAE-2025-CH26
LAY-WWARM-5,ASM-WALL-WARM-COMP,5,Gypsum Interior Plaster,MAT-GYPSUM,12.5,0.21,0.0595,CALCULATED_D_OVER_K,SRC-ASHRAE-2025-CH26
LAY-WWARM-6,ASM-WALL-WARM-COMP,6,Interior Surface Film Resistance,MAT-AIR-CAVITY,0.0,0.0,0.13,DIRECTLY_SOURCED_ISO6946,SRC-ISO-6946-2017
LAY-RTRAD-1,ASM-ROOF-LADAKH-TRAD,1,Exterior Roof Film Resistance,MAT-AIR-CAVITY,0.0,0.0,0.04,DIRECTLY_SOURCED_ISO6946,SRC-ISO-6946-2017
LAY-RTRAD-2,ASM-ROOF-LADAKH-TRAD,2,Mud-Clay Protective Seal Layer,MAT-ADOBE,50.0,0.7,0.0714,CALCULATED_D_OVER_K,SRC-ASHRAE-2025-CH26
LAY-RTRAD-3,ASM-ROOF-LADAKH-TRAD,3,Compacted Straw Thatch Layer,MAT-THATCH,150.0,0.05,3.0,CALCULATED_D_OVER_K,SRC-ASHRAE-2025-CH26
LAY-RTRAD-4,ASM-ROOF-LADAKH-TRAD,4,Poplar Timber Deck Joists,MAT-TIMBER,100.0,0.12,0.8333,CALCULATED_D_OVER_K,SRC-ASHRAE-2025-CH26
LAY-RTRAD-5,ASM-ROOF-LADAKH-TRAD,5,Interior Roof Film Resistance,MAT-AIR-CAVITY,0.0,0.0,0.1,DIRECTLY_SOURCED_ISO6946,SRC-ISO-6946-2017
LAY-RMOD-1,ASM-ROOF-LADAKH-INS-MOD,1,Exterior Roof Film Resistance,MAT-AIR-CAVITY,0.0,0.0,0.04,DIRECTLY_SOURCED_ISO6946,SRC-ISO-6946-2017
LAY-RMOD-2,ASM-ROOF-LADAKH-INS-MOD,2,Corrugated Steel Sheet Roofing,MAT-STEEL,0.5,50.0,1e-05,CALCULATED_D_OVER_K,SRC-IS-277-2018
LAY-RMOD-3,ASM-ROOF-LADAKH-INS-MOD,3,XPS Rigid Foam Insulation Board,MAT-XPS,120.0,0.033,3.6364,CALCULATED_D_OVER_K,SRC-DOW-XPS-DS
LAY-RMOD-4,ASM-ROOF-LADAKH-INS-MOD,4,Timber Deck Board,MAT-TIMBER,20.0,0.12,0.1667,CALCULATED_D_OVER_K,SRC-ASHRAE-2025-CH26
LAY-RMOD-5,ASM-ROOF-LADAKH-INS-MOD,5,Gypsum Ceiling Lining,MAT-GYPSUM,12.5,0.21,0.0595,CALCULATED_D_OVER_K,SRC-ASHRAE-2025-CH26
LAY-RMOD-6,ASM-ROOF-LADAKH-INS-MOD,6,Interior Roof Film Resistance,MAT-AIR-CAVITY,0.0,0.0,0.1,DIRECTLY_SOURCED_ISO6946,SRC-ISO-6946-2017
LAY-RWARM-1,ASM-ROOF-WARM-SLAB,1,Exterior Roof Film Resistance,MAT-AIR-CAVITY,0.0,0.0,0.04,DIRECTLY_SOURCED_ISO6946,SRC-ISO-6946-2017
LAY-RWARM-2,ASM-ROOF-WARM-SLAB,2,Reinforced Concrete Roof Slab,MAT-CONCRETE,150.0,1.7,0.0882,CALCULATED_D_OVER_K,SRC-ASHRAE-2025-CH26
LAY-RWARM-3,ASM-ROOF-WARM-SLAB,3,Gypsum Ceiling Plaster,MAT-GYPSUM,12.5,0.21,0.0595,CALCULATED_D_OVER_K,SRC-ASHRAE-2025-CH26
LAY-RWARM-4,ASM-ROOF-WARM-SLAB,4,Interior Roof Film Resistance,MAT-AIR-CAVITY,0.0,0.0,0.1,DIRECTLY_SOURCED_ISO6946,SRC-ISO-6946-2017
LAY-FINS-1,ASM-FLOOR-LADAKH-INS-SLAB,1,Ground Soil Interface Resistance,MAT-AIR-CAVITY,0.0,0.0,0.04,DIRECTLY_SOURCED_ISO6946,SRC-ISO-6946-2017
LAY-FINS-2,ASM-FLOOR-LADAKH-INS-SLAB,2,XPS Sub-Slab Rigid Foam Insulation,MAT-XPS,60.0,0.033,1.8182,CALCULATED_D_OVER_K,SRC-DOW-XPS-DS
LAY-FINS-3,ASM-FLOOR-LADAKH-INS-SLAB,3,Reinforced Concrete Floor Slab,MAT-CONCRETE,100.0,1.7,0.0588,CALCULATED_D_OVER_K,SRC-ASHRAE-2025-CH26
LAY-FINS-4,ASM-FLOOR-LADAKH-INS-SLAB,4,Timber Board Flooring,MAT-TIMBER,20.0,0.12,0.1667,CALCULATED_D_OVER_K,SRC-ASHRAE-2025-CH26
LAY-FINS-5,ASM-FLOOR-LADAKH-INS-SLAB,5,Interior Floor Film Resistance,MAT-AIR-CAVITY,0.0,0.0,0.17,DIRECTLY_SOURCED_ISO6946,SRC-ISO-6946-2017
LAY-FTRAD-1,ASM-FLOOR-LADAKH-TRAD,1,Ground Soil Interface Resistance,MAT-AIR-CAVITY,0.0,0.0,0.04,DIRECTLY_SOURCED_ISO6946,SRC-ISO-6946-2017
LAY-FTRAD-2,ASM-FLOOR-LADAKH-TRAD,2,Compacted Gravel Sub-Base Bed,MAT-STONE,150.0,2.5,0.06,CALCULATED_D_OVER_K,SRC-ASHRAE-2025-CH26
LAY-FTRAD-3,ASM-FLOOR-LADAKH-TRAD,3,Compacted Earthen Floor Base,MAT-ADOBE,80.0,0.7,0.1143,CALCULATED_D_OVER_K,SRC-ASHRAE-2025-CH26
LAY-FTRAD-4,ASM-FLOOR-LADAKH-TRAD,4,Slate Stone Floor Pavers,MAT-STONE,20.0,2.5,0.008,CALCULATED_D_OVER_K,SRC-ASHRAE-2025-CH26
LAY-FTRAD-5,ASM-FLOOR-LADAKH-TRAD,5,Interior Floor Film Resistance,MAT-AIR-CAVITY,0.0,0.0,0.17,DIRECTLY_SOURCED_ISO6946,SRC-ISO-6946-2017
LAY-FWARM-1,ASM-FLOOR-WARM-TILED,1,Ground Soil Interface Resistance,MAT-AIR-CAVITY,0.0,0.0,0.04,DIRECTLY_SOURCED_ISO6946,SRC-ISO-6946-2017
LAY-FWARM-2,ASM-FLOOR-WARM-TILED,2,Reinforced Concrete Sub-Slab,MAT-CONCRETE,120.0,1.7,0.0706,CALCULATED_D_OVER_K,SRC-ASHRAE-2025-CH26
LAY-FWARM-3,ASM-FLOOR-WARM-TILED,3,Ceramic Tile Finish,MAT-BRICK,10.0,1.3,0.0077,CALCULATED_D_OVER_K,SRC-ASHRAE-2025-CH26
LAY-FWARM-4,ASM-FLOOR-WARM-TILED,4,Interior Floor Film Resistance,MAT-AIR-CAVITY,0.0,0.0,0.17,DIRECTLY_SOURCED_ISO6946,SRC-ISO-6946-2017
