material_id,supplier_name,product_name,price_per_unit,currency,price_unit,availability_status,product_url,image_url,source_id,confidence,retrieval_timestamp
MAT-CONCRETE,JK Cement & ReadyMix,M25 High-Strength Alpine Concrete Mix,5500.0,INR,m3,AVAILABLE,https://jkcement.com/products/readymix-m25,IMAGE_NOT_AVAILABLE,SRC-MARKET-IN-26,High,2026-08-28T12:00:00Z
MAT-CONCRETE,UltraTech Concrete Solutions,UltraTech HyperStrength M20 Concrete,5200.0,INR,m3,IN_STOCK,https://ultratechcement.com/products/hyperstrength-concrete,IMAGE_NOT_AVAILABLE,SRC-MARKET-IN-26,High,2026-08-28T12:00:00Z
MAT-TIMBER,"Himalayan Pine & Poplar Timber Co.","Seasoned Softwood Poplar / Blue Pine (50x100mm)",22000.0,INR,m3,IN_STOCK,https://indiamart.com/himalayan-timber/pine-poplar,IMAGE_NOT_AVAILABLE,SRC-MARKET-IN-26,High,2026-08-28T12:00:00Z
MAT-TIMBER,Kashmir Valley Wood Supplies,Kiln-Dried Structural Deodar Timber,36000.0,INR,m3,LIMITED_STOCK,https://indiamart.com/kashmir-woods/deodar-timber,IMAGE_NOT_AVAILABLE,SRC-MARKET-IN-26,High,2026-08-28T12:00:00Z
MAT-TIMBER-FRAME,Alpine Modular Framing Systems,Pre-Cut Treated Pine Stud Framing Kit,850.0,INR,m2,AVAILABLE,https://indiamart.com/alpine-framing/stud-kit,IMAGE_NOT_AVAILABLE,SRC-MARKET-IN-26,High,2026-08-28T12:00:00Z
MAT-BAMBOO,Northeast Bamboo Craft Hub,Boron-Treated Structural Bamboo Culms,140.0,INR,unit,IN_STOCK,https://indiamart.com/northeast-bamboo/treated-culms,IMAGE_NOT_AVAILABLE,SRC-MARKET-IN-26,High,2026-08-28T12:00:00Z
MAT-THATCH,Ladakh Agricultural Farmers Union,Compacted Dry Barley Thatch Bundles,45.0,INR,m2,SEASONAL_AVAILABLE,PURCHASE_URL_NOT_AVAILABLE,IMAGE_NOT_AVAILABLE,SRC-MARKET-IN-26,Medium,2026-08-28T12:00:00Z
MAT-STEEL,Tata Steel Limited,Tata Shaktee 0.50mm Galvanized Corrugated Roofing Sheet,550.0,INR,m2,IN_STOCK,https://tatasteel.com/products/tata-shaktee-gc-sheet,https://tatashaktee.com/assets/images/gc-sheet.jpg,SRC-MARKET-IN-26,High,2026-08-28T12:00:00Z
MAT-STEEL,JSW Steel Coated Products,JSW Colouron+ 0.50mm Pre-Painted Corrugated Sheet,680.0,INR,m2,IN_STOCK,https://jswcoated.in/colouron-plus-sheet,https://jsw.in/images/colouron.jpg,SRC-MARKET-IN-26,High,2026-08-28T12:00:00Z
MAT-STEEL,Sail Steel Authority,SAIL Jyoti Galvanized Corrugated 0.5mm,520.0,INR,m2,AVAILABLE,https://sail.co.in/sail-jyoti-sheet,IMAGE_NOT_AVAILABLE,SRC-MARKET-IN-26,High,2026-08-28T12:00:00Z
MAT-ROCKWOOL,Rockwool India Pvt Ltd,ThermalBatt Hydrophobic Mineral Wool 100mm,1200.0,INR,m2,IN_STOCK,https://rockwool.com/in/products/thermalbatt-100,https://rockwool.com/in/assets/thermalbatt.jpg,SRC-MARKET-IN-26,High,2026-08-28T12:00:00Z
MAT-ROCKWOOL,Lloyds Insulation Works,Lloyds SuperBatt Rockwool Insulation 100mm,1050.0,INR,m2,AVAILABLE,https://lloydinsulation.com/products/superbatt,IMAGE_NOT_AVAILABLE,SRC-MARKET-IN-26,High,2026-08-28T12:00:00Z
MAT-EPS,StyroBoard India Ltd,"High-Density Closed-Cell EPS Board (50mm, 20kg/m3)",420.0,INR,m2,IN_STOCK,https://indiamart.com/styroboard-india/eps-50mm,IMAGE_NOT_AVAILABLE,SRC-MARKET-IN-26,High,2026-08-28T12:00:00Z
MAT-EPS,Supreme Industries Protective Packaging,Supreme EPS Thermal Insulation Board 50mm,460.0,INR,m2,AVAILABLE,https://supreme.co.in/eps-insulation-board,IMAGE_NOT_AVAILABLE,SRC-MARKET-IN-26,High,2026-08-28T12:00:00Z
MAT-XPS,Supreme Industries Petrochem,Supreme INSUboard Extruded Polystyrene 50mm,720.0,INR,m2,IN_STOCK,https://supreme.co.in/insuboard-xps,https://supreme.co.in/assets/insuboard.jpg,SRC-MARKET-IN-26,High,2026-08-28T12:00:00Z
MAT-XPS,Owens Corning Foamular India,Foamular XPS Rigid Foam Board 50mm,890.0,INR,m2,AVAILABLE,https://owenscorning.in/foamular-xps,IMAGE_NOT_AVAILABLE,SRC-MARKET-IN-26,High,2026-08-28T12:00:00Z
MAT-GYPSUM,Saint-Gobain Gyproc India,Gyproc Regular Gypsum Plasterboard 12.5mm,280.0,INR,m2,IN_STOCK,https://gyproc.in/products/regular-gypsum-board,https://gyproc.in/assets/gyproc-regular.jpg,SRC-MARKET-IN-26,High,2026-08-28T12:00:00Z
MAT-GYPSUM,Knauf India Ceiling & Drywall,Knauf Standard Wallboard 12.5mm,265.0,INR,m2,AVAILABLE,https://knauf.in/products/standard-wallboard-12-5,IMAGE_NOT_AVAILABLE,SRC-MARKET-IN-26,High,2026-08-28T12:00:00Z
