material_id,property_name,property_value,unit,source_id,source_type,source_url,source_condition,confidence,calculation_method
MAT-V2-CONCRETE,density_kg_m3,2300,kg/m³,SRC-ASHRAE-2025-CH26,Primary,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx,Cured dry density,High,DIRECTLY SOURCED
MAT-V2-CONCRETE,thermal_resistance_m2K_W,0.118,m²·K/W,SRC-ISO-6946-2017,Primary,https://www.iso.org/standard/65708.html,200mm thickness,High,CALCULATED (R = thickness / conductivity = 0.20 / 1.70)
MAT-V2-TIMBER,thermal_conductivity_W_mK,0.12,W/(m·K),SRC-ASHRAE-2025-CH26,Primary,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx,Pine at 12% moisture content,High,DIRECTLY SOURCED
MAT-V2-TIMBER,density_kg_m3,450,kg/m³,SRC-ASHRAE-2025-CH26,Primary,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx,Oven dry basis at 12% MC,High,DIRECTLY SOURCED
MAT-V2-TIMBER,thermal_resistance_m2K_W,0.833,m²·K/W,SRC-ISO-6946-2017,Primary,https://www.iso.org/standard/65708.html,100mm thickness,High,CALCULATED (R = thickness / conductivity = 0.10 / 0.12)
MAT-V2-BAMBOO,thermal_conductivity_W_mK,0.15,W/(m·K),SRC-NIST-PUB,Secondary,https://www.nist.gov/programs-projects/building-materials,Treated bamboo culm,Medium,DIRECTLY SOURCED
MAT-V2-BAMBOO,density_kg_m3,600,kg/m³,SRC-NIST-PUB,Secondary,https://www.nist.gov/programs-projects/building-materials,Air dry density,Medium,DIRECTLY SOURCED
MAT-V2-BAMBOO,thermal_resistance_m2K_W,0.500,m²·K/W,SRC-ISO-6946-2017,Primary,https://www.iso.org/standard/65708.html,75mm thickness,High,CALCULATED (R = thickness / conductivity = 0.075 / 0.15)
MAT-V2-THATCH,thermal_conductivity_W_mK,0.05,W/(m·K),SRC-ASHRAE-2025-CH26,Primary,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx,Dry straw thatch,High,DIRECTLY SOURCED
MAT-V2-THATCH,density_kg_m3,300,kg/m³,SRC-ASHRAE-2025-CH26,Primary,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx,Compacted thatch density,High,DIRECTLY SOURCED
MAT-V2-THATCH,thermal_resistance_m2K_W,3.000,m²·K/W,SRC-ISO-6946-2017,Primary,https://www.iso.org/standard/65708.html,150mm thickness,High,CALCULATED (R = thickness / conductivity = 0.15 / 0.05)
MAT-V2-STEEL,thermal_conductivity_W_mK,50.00,W/(m·K),SRC-ASHRAE-2025-CH26,Primary,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx,Galvanized carbon steel,High,DIRECTLY SOURCED
MAT-V2-STEEL,density_kg_m3,7850,kg/m³,SRC-ASHRAE-2025-CH26,Primary,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx,Steel density,High,DIRECTLY SOURCED
MAT-V2-STEEL,thermal_resistance_m2K_W,0.00001,m²·K/W,SRC-ISO-6946-2017,Primary,https://www.iso.org/standard/65708.html,0.5mm thickness,High,CALCULATED (R = thickness / conductivity = 0.0005 / 50.0)
MAT-V2-ROCKWOOL,thermal_conductivity_W_mK,0.040,W/(m·K),SRC-ROCKWOOL-DS,Secondary,https://www.rockwool.com/technical-insulation/,24°C mean temp ASTM C518,High,DIRECTLY SOURCED
MAT-V2-ROCKWOOL,density_kg_m3,180,kg/m³,SRC-ROCKWOOL-DS,Secondary,https://www.rockwool.com/technical-insulation/,High density board,High,DIRECTLY SOURCED
MAT-V2-ROCKWOOL,thermal_resistance_m2K_W,2.500,m²·K/W,SRC-ISO-6946-2017,Primary,https://www.iso.org/standard/65708.html,100mm thickness,High,CALCULATED (R = thickness / conductivity = 0.10 / 0.04)
MAT-V2-EPS,thermal_conductivity_W_mK,0.035,W/(m·K),SRC-EPS-ALLIANCE-DS,Secondary,https://www.epsindustry.org/,24°C mean temp ASTM C578 Type I,High,DIRECTLY SOURCED
MAT-V2-EPS,density_kg_m3,20,kg/m³,SRC-EPS-ALLIANCE-DS,Secondary,https://www.epsindustry.org/,Type I nominal density,High,DIRECTLY SOURCED
MAT-V2-EPS,thermal_resistance_m2K_W,1.429,m²·K/W,SRC-ISO-6946-2017,Primary,https://www.iso.org/standard/65708.html,50mm thickness,High,CALCULATED (R = thickness / conductivity = 0.05 / 0.035)
MAT-V2-XPS,thermal_conductivity_W_mK,0.033,W/(m·K),SRC-DOW-XPS-DS,Secondary,https://www.dow.com/en-us/product/xps-insulation.html,24°C mean temp aged R-value,High,DIRECTLY SOURCED
MAT-V2-XPS,density_kg_m3,35,kg/m³,SRC-DOW-XPS-DS,Secondary,https://www.dow.com/en-us/product/xps-insulation.html,Nominal board density,High,DIRECTLY SOURCED
MAT-V2-XPS,thermal_resistance_m2K_W,1.515,m²·K/W,SRC-ISO-6946-2017,Primary,https://www.iso.org/standard/65708.html,50mm thickness,High,CALCULATED (R = thickness / conductivity = 0.05 / 0.033)
MAT-V2-AIR-CAVITY,thermal_resistance_m2K_W,0.210,m²·K/W,SRC-ISO-6946-2017,Primary,https://www.iso.org/standard/65708.html,50mm unventilated vertical air cavity high emissivity,High,DIRECTLY SOURCED (ISO 6946 Table 3)
MAT-V2-TIMBER-FRAME,thermal_conductivity_W_mK,0.12,W/(m·K),SRC-ASHRAE-2025-CH26,Primary,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx,Softwood framing lumber at 12% MC,High,DIRECTLY SOURCED
MAT-V2-TIMBER-FRAME,thermal_resistance_m2K_W,0.833,m²·K/W,SRC-ISO-6946-2017,Primary,https://www.iso.org/standard/65708.html,100mm stud thickness,High,CALCULATED (R = thickness / conductivity = 0.10 / 0.12)
MAT-V2-GYPSUM,thermal_conductivity_W_mK,0.21,W/(m·K),SRC-ASHRAE-2025-CH26,Primary,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx,Dry plasterboard,High,DIRECTLY SOURCED
MAT-V2-GYPSUM,density_kg_m3,800,kg/m³,SRC-ASHRAE-2025-CH26,Primary,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch26/F25_Ch26_si.aspx,Standard board density,High,DIRECTLY SOURCED
MAT-V2-GYPSUM,thermal_resistance_m2K_W,0.060,m²·K/W,SRC-ISO-6946-2017,Primary,https://www.iso.org/standard/65708.html,12.5mm thickness,High,CALCULATED (R = thickness / conductivity = 0.0125 / 0.21)
MAT-V2-CSEB,thermal_conductivity_W_mK,0.95,W/(m·K),SRC-LADAKH-REGS-2023,Primary,https://www.bis.gov.in/wp-content/uploads/2024/02/20240115-Ladakh-Final-Standardized-Development-and-Building-Regulations.pdf,5% cement CSEB block,High,DIRECTLY SOURCED
MAT-V2-CSEB,density_kg_m3,1850,kg/m³,SRC-LADAKH-REGS-2023,Primary,https://www.bis.gov.in/wp-content/uploads/2024/02/20240115-Ladakh-Final-Standardized-Development-and-Building-Regulations.pdf,Compressed block density,High,DIRECTLY SOURCED
MAT-V2-CSEB,thermal_resistance_m2K_W,0.242,m²·K/W,SRC-ISO-6946-2017,Primary,https://www.iso.org/standard/65708.html,230mm thickness,High,CALCULATED (R = thickness / conductivity = 0.23 / 0.95)
