"assembly_id","assembly_name","component","layer_order","layer_name","material_id","thickness_mm","thermal_conductivity_W_mK","layer_r_value_m2K_W","calculation_classification","source_reference","notes"
"ASM-LADAKH-INS-MOD","Ladakh Insulated Modern Shelter","Wall","1","Exterior Surface Resistance","MAT-V2-AIR-CAVITY","0.0","0.0","0.040","DIRECTLY SOURCED","ISO 6946:2017 Table 1","Rse for external wall surface."
"ASM-LADAKH-INS-MOD","Ladakh Insulated Modern Shelter","Wall","2","Compressed Stabilized Earth Block (CSEB)","MAT-V2-CSEB","230.0","0.95","0.242","CALCULATED","Ladakh Regs 2023 / ISO 6946","R = 0.230 / 0.95 = 0.242 m?K/W."
"ASM-LADAKH-INS-MOD","Ladakh Insulated Modern Shelter","Wall","3","Rockwool Insulation Layer","MAT-V2-ROCKWOOL","100.0","0.040","2.500","CALCULATED","Rockwool DS / ISO 6946","R = 0.100 / 0.040 = 2.500 m?K/W."
"ASM-LADAKH-INS-MOD","Ladakh Insulated Modern Shelter","Wall","4","Unventilated Air Cavity","MAT-V2-AIR-CAVITY","50.0","0.238","0.210","DIRECTLY SOURCED","ISO 6946:2017 Table 3","R = 0.210 m?K/W for 50mm air cavity."
"ASM-LADAKH-INS-MOD","Ladakh Insulated Modern Shelter","Wall","5","Gypsum Plasterboard Lining","MAT-V2-GYPSUM","12.5","0.21","0.060","CALCULATED","ASHRAE 2025 Ch 26","R = 0.0125 / 0.21 = 0.060 m?K/W."
"ASM-LADAKH-INS-MOD","Ladakh Insulated Modern Shelter","Wall","6","Interior Surface Resistance","MAT-V2-AIR-CAVITY","0.0","0.0","0.130","DIRECTLY SOURCED","ISO 6946:2017 Table 1","Rsi for internal wall surface."
"ASM-LADAKH-LIGHT-INS","Ladakh Lightweight Insulated Shelter","Wall","1","Exterior Surface Resistance","MAT-V2-AIR-CAVITY","0.0","0.0","0.040","DIRECTLY SOURCED","ISO 6946:2017 Table 1","Rse for external wall surface."
"ASM-LADAKH-LIGHT-INS","Ladakh Lightweight Insulated Shelter","Wall","2","Corrugated Steel Sheet Cladding","MAT-V2-STEEL","0.5","50.00","0.00001","CALCULATED","ASHRAE 2025 Ch 26","R = 0.0005 / 50.0 = 0.00001 m?K/W."
"ASM-LADAKH-LIGHT-INS","Ladakh Lightweight Insulated Shelter","Wall","3","Unventilated Air Cavity","MAT-V2-AIR-CAVITY","50.0","0.238","0.210","DIRECTLY SOURCED","ISO 6946:2017 Table 3","R = 0.210 m?K/W for 50mm air cavity."
"ASM-LADAKH-LIGHT-INS","Ladakh Lightweight Insulated Shelter","Wall","4","XPS Rigid Board Insulation","MAT-V2-XPS","100.0","0.033","3.030","CALCULATED","Dow XPS DS / ISO 6946","R = 0.100 / 0.033 = 3.030 m?K/W."
"ASM-LADAKH-LIGHT-INS","Ladakh Lightweight Insulated Shelter","Wall","5","Timber Stud Framing Core","MAT-V2-TIMBER-FRAME","50.0","0.12","0.416666666666667","CALCULATED","ASHRAE 2025 Ch 26","R_stud = 0.050 / 0.12 = 0.416666666666667 m?K/W."
"ASM-LADAKH-LIGHT-INS","Ladakh Lightweight Insulated Shelter","Wall","6","Gypsum Interior Board","MAT-V2-GYPSUM","12.5","0.21","0.0595238095238095","CALCULATED","ASHRAE 2025 Ch 26","R = 0.0125 / 0.21 = 0.0595238095238095 m?K/W."
"ASM-LADAKH-LIGHT-INS","Ladakh Lightweight Insulated Shelter","Wall","7","Interior Surface Resistance","MAT-V2-AIR-CAVITY","0.0","0.0","0.130","DIRECTLY SOURCED","ISO 6946:2017 Table 1","Rsi for internal wall surface."
"ASM-SHIMLA-COLD","Shimla Cold-Climate Mountain Shelter","Wall","1","Exterior Surface Resistance","MAT-V2-AIR-CAVITY","0.0","0.0","0.040","DIRECTLY SOURCED","ISO 6946:2017 Table 1","Rse for external wall surface."
"ASM-SHIMLA-COLD","Shimla Cold-Climate Mountain Shelter","Wall","2","Granite Stone Masonry Cladding","MAT-V2-STONE","250.0","2.50","0.100","CALCULATED","ASHRAE 2025 Ch 26","R = 0.250 / 2.50 = 0.100 m?K/W."
"ASM-SHIMLA-COLD","Shimla Cold-Climate Mountain Shelter","Wall","3","Ventilated Drainage Air Cavity","MAT-V2-AIR-CAVITY","50.0","0.238","0.210","DIRECTLY SOURCED","ISO 6946:2017 Table 3","R = 0.210 m?K/W for 50mm air cavity."
"ASM-SHIMLA-COLD","Shimla Cold-Climate Mountain Shelter","Wall","4","Rockwool Thermal Insulation Batt","MAT-V2-ROCKWOOL","120.0","0.040","3.000","CALCULATED","Rockwool DS / ISO 6946","R = 0.120 / 0.040 = 3.000 m?K/W."
"ASM-SHIMLA-COLD","Shimla Cold-Climate Mountain Shelter","Wall","5","Gypsum Interior Board","MAT-V2-GYPSUM","12.5","0.21","0.060","CALCULATED","ASHRAE 2025 Ch 26","R = 0.0125 / 0.21 = 0.060 m?K/W."
"ASM-SHIMLA-COLD","Shimla Cold-Climate Mountain Shelter","Wall","6","Interior Surface Resistance","MAT-V2-AIR-CAVITY","0.0","0.0","0.130","DIRECTLY SOURCED","ISO 6946:2017 Table 1","Rsi for internal wall surface."
"ASM-WARM-COMP","Warm Climate Comparison Shelter","Wall","1","Exterior Surface Resistance","MAT-V2-AIR-CAVITY","0.0","0.0","0.040","DIRECTLY SOURCED","ISO 6946:2017 Table 1","Rse for external wall surface."
"ASM-WARM-COMP","Warm Climate Comparison Shelter","Wall","2","Outer Clay Brick Layer","MAT-V2-BRICK","115.0","0.70","0.164","CALCULATED","ASHRAE 2025 Ch 26","R = 0.115 / 0.70 = 0.164 m?K/W."
"ASM-WARM-COMP","Warm Climate Comparison Shelter","Wall","3","Unventilated Air Cavity","MAT-V2-AIR-CAVITY","50.0","0.238","0.210","DIRECTLY SOURCED","ISO 6946:2017 Table 3","R = 0.210 m?K/W for 50mm cavity."
"ASM-WARM-COMP","Warm Climate Comparison Shelter","Wall","4","Inner Clay Brick Layer","MAT-V2-BRICK","115.0","0.70","0.164","CALCULATED","ASHRAE 2025 Ch 26","R = 0.115 / 0.70 = 0.164 m?K/W."
"ASM-WARM-COMP","Warm Climate Comparison Shelter","Wall","5","Gypsum Interior Plaster","MAT-V2-GYPSUM","12.5","0.21","0.060","CALCULATED","ASHRAE 2025 Ch 26","R = 0.0125 / 0.21 = 0.060 m?K/W."
"ASM-WARM-COMP","Warm Climate Comparison Shelter","Wall","6","Interior Surface Resistance","MAT-V2-AIR-CAVITY","0.0","0.0","0.130","DIRECTLY SOURCED","ISO 6946:2017 Table 1","Rsi for internal wall surface."
